code,name,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,total,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,median_income_per_job
SA2,SA2 NAME,Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($)
101021007,Braidwood,0.1,0.1,0.1,0,0.2,0.1,0.2,0.3,0.1,0,0.1,0,0.2,0.2,0.4,0.2,0.1,0,0.1,2.7,"8,369","75,183","24,552","90,216","34,293","53,263","15,196","4,200","25,656","25,068","33,539","22,184","40,065","15,563","72,288","36,529","36,341","19,313","22,143","28,558"
101021008,Karabar,0,0,0.3,0.1,0.7,0.2,0.6,0.5,0.2,0.1,0.2,0.1,0.4,0.6,1.5,0.3,0.5,0.1,0.2,6.7,"4,956","32,850","55,038","78,724","51,140","48,852","21,213","9,169","47,049","61,575","28,734","42,540","58,601","20,718","74,367","44,952","28,315","16,335","30,865","40,914"
101021009,Queanbeyan,0,0,0.4,0.1,0.7,0.2,0.9,0.7,0.2,0.1,0.2,0.1,0.6,1,2,0.4,0.9,0.1,0.3,9.2,"4,861","58,637","49,678","68,846","45,051","35,446","24,323","11,468","47,349","67,282","25,015","42,510","59,273","15,599","74,146","39,018","27,627","21,482","32,221","38,550"
101021010,Queanbeyan - East,0,0,0.2,0,0.3,0.1,0.4,0.4,0.1,0.1,0.1,0.1,0.3,0.4,1,0.2,0.4,0.1,0.1,4.4,"5,950","13,765","36,024","92,635","46,798","35,240","22,844","11,756","45,081","77,398","36,358","33,928","55,373","18,456","74,278","40,043","30,144","20,165","31,360","39,602"
101021011,Queanbeyan Region,0.2,0.1,0.5,0.1,1.5,0.4,1.2,0.9,0.4,0.2,0.4,0.3,1.5,1.1,4.6,1,1,0.3,0.5,16.3,"6,229","51,511","46,616","89,768","52,218","46,798","15,211","7,111","49,976","85,777","41,198","38,367","73,430","27,503","84,185","36,884","32,119","13,710","33,751","49,809"
101021012,Queanbeyan West - Jerrabomberra,0,0,0.3,0.1,0.8,0.2,0.9,0.8,0.2,0.2,0.2,0.2,0.9,0.8,3.1,0.7,0.7,0.2,0.3,10.7,"13,986","82,809","44,531","106,662","55,206","40,963","17,574","6,401","53,747","72,094","30,773","44,552","72,894","27,212","86,286","37,089","29,642","7,036","36,279","48,729"
101031013,Bombala,0.5,0,0.1,0,0.1,0,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,1.9,"7,656","57,920","61,363","78,032","15,295","35,882","17,845","4,614","18,596","15,811","26,697","6,785","34,010","9,428","60,579","24,719","39,880","5,634","16,542","18,509"
101031014,Cooma,0.3,0,0.1,0.2,0.3,0.1,0.6,0.6,0.2,0,0.1,0.1,0.2,0.3,0.5,0.4,0.4,0,0.2,4.8,"3,644","71,165","36,844","105,239","39,547","34,737","22,722","6,720","30,942","39,712","19,959","21,717","43,049","12,739","66,256","29,599","34,811","4,754","32,357","26,739"
101031015,Cooma Region,0.3,0,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0,0,0,0.2,0.1,0.3,0.2,0.2,0,0.1,2.5,"3,430","34,645","33,399","88,711","30,216","31,017","15,778","5,490","26,716","9,693","35,427","20,680","34,440","14,943","67,173","34,445","28,089","4,140","30,256","22,642"
